"Inference Method","Inference Correction","Confounder Selection Correction","Description","T1-T2 Absent","T1-T2 Present","Total","Precision"
" "," "," ","T1-T2 Absent","21","2","23","0.913"
"MRGN","None: $\alpha < 0.01$","FDR $<0.05$","T1-T2 Present","93","184","277","0.6643"
" "," "," ","Total","114","186","300",""
" "," "," ","Recall","0.1842","0.9892"," ",""
" "," "," "," "," "," "," "," "
" "," "," ","T1-T2 Absent","25","2","27","0.9259"
"MRGN","None: $\alpha < 0.01$","None: $\alpha < 0.01$","T1-T2 Present","89","184","273","0.674"
" "," "," ","Total","114","186","300",""
" "," "," ","Recall","0.2193","0.9892"," ",""
" "," "," "," "," "," "," "," "
" "," "," ","T1-T2 Absent","0","0","0","NaN"
"GMAC","FDR $<0.1$","FDR $<0.05$","T1-T2 Present","114","186","300","0.62"
" "," "," ","Total","114","186","300",""
" "," "," ","Recall","0","1"," ",""
" "," "," "," "," "," "," "," "
" "," "," ","T1-T2 Absent","11","1","12","0.9167"
"GMAC","None: $\alpha < 0.05$","FDR $<0.05$","T1-T2 Present","103","185","288","0.6424"
" "," "," ","Total","114","186","300",""
" "," "," ","Recall","0.0965","0.9946"," ",""
" "," "," "," "," "," "," "," "
" "," "," ","T1-T2 Absent","21","2","23","0.913"
"GMAC","None: $\alpha < 0.01$","FDR $<0.05$","T1-T2 Present","93","184","277","0.6643"
" "," "," ","Total","114","186","300",""
" "," "," ","Recall","0.1842","0.9892"," ",""
