"Inference Method","Inference Correction","Confounder Selection Correction","Description","T1-T2 Absent","T1-T2 Present","Total","Precision"
" "," "," ","T1-T2 Absent","249","4","253","0.9842"
" "," "," ","T1-T2 Present","359","888","1247","0.7121"
"MRGN","None: $\alpha < 0.01$","FDR $<0.05$","Total","608","892","1500",""
" "," "," ","Recall","0.4095","0.9955"," ",""
" "," "," ","Type I Error","0.5905"," "," "," "
" "," "," ","Type II Error"," ","0.0045"," "," "
" "," "," "," "," "," "," "," "
" "," "," ","T1-T2 Absent","260","21","281","0.9253"
" "," "," ","T1-T2 Present","348","871","1219","0.7145"
"MRGN","None: $\alpha < 0.01$","None: $\alpha < 0.01$","Total","608","892","1500",""
" "," "," ","Recall","0.4276","0.9765"," ",""
" "," "," ","Type I Error","0.5724"," "," "," "
" "," "," ","Type II Error"," ","0.0235"," "," "
" "," "," "," "," "," "," "," "
" "," "," ","T1-T2 Absent","550","223","773","0.7115"
" "," "," ","T1-T2 Present","58","669","727","0.9202"
"MRPC","ADDIS","FDR $<0.05$","Total","608","892","1500",""
" "," "," ","Recall","0.9046","0.75"," ",""
" "," "," ","Type I Error","0.0954"," "," "," "
" "," "," ","Type II Error"," ","0.25"," "," "
" "," "," "," "," "," "," "," "
" "," "," ","T1-T2 Absent","0","0","0","NaN"
" "," "," ","T1-T2 Present","608","892","1500","0.5947"
"GMAC","FDR $< 0.1$","FDR $<0.05$","Total","608","892","1500",""
" "," "," ","Recall","0","1"," ",""
" "," "," ","Type I Error","1"," "," "," "
" "," "," ","Type II Error"," ","0"," "," "
" "," "," "," "," "," "," "," "
" "," "," ","T1-T2 Absent","186","2","188","0.9894"
" "," "," ","T1-T2 Present","422","890","1312","0.6784"
"GMAC","None: $\alpha < 0.05$","FDR $<0.05$","Total","608","892","1500",""
" "," "," ","Recall","0.3059","0.9978"," ",""
" "," "," ","Type I Error","0.6941"," "," "," "
" "," "," ","Type II Error"," ","0.0022"," "," "
" "," "," "," "," "," "," "," "
" "," "," ","T1-T2 Absent","246","4","250","0.984"
" "," "," ","T1-T2 Present","362","888","1250","0.7104"
"GMAC","None: $\alpha < 0.01$","FDR $<0.05$","Total","608","892","1500",""
" "," "," ","Recall","0.4046","0.9955"," ",""
" "," "," ","Type I Error","0.5954"," "," "," "
" "," "," ","Type II Error"," ","0.0045"," "," "
