"Inference Method","Inference Correction","Confounder Selection Correction","Description","M0","M1","M2","M3","M4","Total","Precision"
" "," "," ","M0","157","0","0","0","0","157","1"
" "," "," ","M1","145","251","13","7","142","558","0.4498"
" "," "," ","M2","9","0","275","2","1","287","0.9582"
"MRGN","None: $\alpha <0.01$","FDR $ < 0.05$","M3","0","0","2","92","2","96","0.9583"
" "," "," ","M4","1","8","3","189","173","374","0.4626"
" "," "," ","Other","5","10","11","1","1","28"," "
" "," "," ","Total","317","269","304","291","319","1500"," "
" "," "," ","Recall","0.4953","0.9331","0.9046","0.3162","0.5423"," "," "
" "," "," "," "," "," "," "," "," "," "," "
" "," "," ","M0","160","4","4","0","0","168","0.9524"
" "," "," ","M1","149","247","15","8","160","579","0.4266"
" "," "," ","M2","1","0","256","2","1","260","0.9846"
"MRGN","None: $\alpha <0.01$","None: $\alpha <0.01$","M3","1","0","13","99","0","113","0.8761"
" "," "," ","M4","0","3","3","178","153","337","0.454"
" "," "," ","Other","6","15","13","4","5","43"," "
" "," "," ","Total","317","269","304","291","319","1500"," "
" "," "," ","Recall","0.5047","0.9182","0.8421","0.3402","0.4796"," "," "
" "," "," "," "," "," "," "," "," "," "," "
" "," "," ","M0","278","55","90","45","43","511","0.544"
" "," "," ","M1","9","26","1","2","157","195","0.1333"
" "," "," ","M2","8","125","111","4","6","254","0.437"
"MRPC","ADDIS","FDR $< 0.05$","M3","5","5","0","205","27","242","0.8471"
" "," "," ","M4","4","20","0","25","71","120","0.5917"
" "," "," ","Other","13","38","102","10","15","178"," "
" "," "," ","Total","317","269","304","291","319","1500"," "
" "," "," ","Recall","0.877","0.0967","0.3651","0.7045","0.2226"," "," "
