"Inference Method","Inference Correction","Confounder Selection Correction","Metric","M0","M1","M2","M3","M4"
NA,NA,NA,"Precision","0.7392","0.9665","0.9605","0.7646","0.8879"
"MRGN","None: $\alpha < 0.01$","FDR $<0.05$","Recall","0.9842","0.9647","0.9539","0.9811","0.7717"
NA,NA,NA,"EW Precision","0.7392","0.9901","0.9885","0.7646","1"
NA,NA,NA,"EW Recall","0.9842","0.9814","0.9737","0.9811","0.8464"
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Precision","0.7429","0.9665","0.9342","0.7652","0.8738"
"MRGN","None: $\alpha < 0.01$","None: $\alpha < 0.01$","Recall","0.9811","0.948","0.9211","0.9691","0.7372"
NA,NA,NA,"EW Precision","0.7429","0.9963","0.9671","0.7652","1"
NA,NA,NA,"EW Recall","0.9811","0.9647","0.9441","0.9691","0.8213"
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Precision","0.8718","0.8497","0.873","0.853","0.8639"
"MRPC","ADDIS","FDR $<0.05$","Recall","0.73","0.7218","0.7303","0.699","0.7422"
NA,NA,NA,"EW Precision","0.9761","0.9472","0.9628","0.9494","0.9603"
NA,NA,NA,"EW Recall","0.8018","0.7912","0.7961","0.768","0.813"
