,,MRGNtrio + Confounders selected with no FDR correction + Permutation on all trios,,,,,,,,
,,M0,M1.1,M1.2,M2,M3,M4,Other,Total,% Agreement MRGNtrio
,Cis Mediated,13,3,0,0,16,2,4,38,8%
GMAC,No Mediation,869,18,2,4,1995,27,89,3004,95%
,Trans Mediated,6,2,2,0,5,0,5,20,10%
,Undirected,25,33,17,6,40,53,12,186,28%
,Total,913,56,21,10,2056,82,110,3248,
,% Agreement GMAC,95%,5%,10%,NA,97%,65%,NA,,
,,,,,,,,,,
,,,,,,,,,,
,,MRGNtrio + Confounders selected with no FDR correction + Permutation on all trios,,,,,,,,
,,M0,M1.1,M1.2,M2,M3,M4,Other,Total,% Agreement MRGNtrio
,M0,553,0,5,6,409,5,62,1040,53%
,M1.1,2,8,0,0,0,0,0,10,80%
,M1.2,9,0,5,2,8,1,2,27,19%
MRPC-ADDIS,M2,11,0,5,1,5,4,0,26,4%
,M3,284,16,1,0,1517,38,33,1889,80%
,M4,54,32,5,0,115,34,13,253,13%
,Other,0,0,0,1,2,0,0,3,0%
,Total,913,56,21,10,2056,82,110,3248,
,% Agreement MRPC,61%,14%,24%,10%,74%,41%,0%,,
