,,MRGN + CS-alpha,,,,,,,,
,Model,M0,M1.1,M1.2,M2,M3,M4,Other,Total,% Agreement MRGN
,Cis Mediated,13,2,0,0,15,6,2,38,5%
GMAC,No Mediation,866,31,3,4,1996,44,60,3004,95%
,Trans Mediated,6,3,2,0,6,0,3,20,10%
,Undirected,26,33,17,6,45,54,5,186,29%
,Total,911,69,22,10,2062,104,70,3248,
,% Agreement GMAC,95%,3%,9%,NA,97%,52%,NA,,
,,,,,,,,,,
,,MRPC,,,,,,,,
,Model,M0,M1.1,M1.2,M2,M3,M4,Other,Total,% Agreement MRPC
,Cis Mediated,12,1,0,1,17,7,0,38,3%
GMAC,No Mediation,991,3,16,12,1812,169,1,3004,93%
,Trans Mediated,8,0,0,1,7,3,1,20,0%
,Undirected,29,6,11,12,53,74,1,186,40%
,Total,1040,10,27,26,1889,253,3,3248,
,% Agreement GMAC,95%,10%,0%,NA,96%,29%,NA,,
,,MRGN + CS-alpha,,,,,,,,
,Model,M0,M1.1,M1.2,M2,M3,M4,Other,Total,% Agreement MRGN
,M0,557,0,5,6,414,5,53,1040,54%
,M1.1,2,8,0,0,0,0,0,10,80%
,M1.2,9,0,6,2,8,1,1,27,22%
MRPC,M2,11,0,5,1,5,4,0,26,4%
,M3,284,21,1,0,1525,47,11,1889,81%
,M4,48,40,5,0,108,47,5,253,19%
,Other,0,0,0,1,2,0,0,3,0%
,Total,911,69,22,10,2062,104,70,3248,
,% Agreement MRPC,61%,12%,27%,10%,74%,45%,0%,,
