"scope","column","row","recall","precision","trios"
"all","MRGN (True Confs.)","M0",0.713333333333333,0.750877192982456,1500
"all","MRGN (True Confs.)","M1",0.666666666666667,0.529100529100529,1500
"all","MRGN (True Confs.)","M2",0.396666666666667,0.937007874015748,1500
"all","MRGN (True Confs.)","M3",0.64,0.932038834951456,1500
"all","MRGN (True Confs.)","M4",0.37,0.932773109243697,1500
"all","MRGN (True Confs.)","T1-T2 edge",0.675555555555556,0.974358974358974,1500
"all","MRGN (CS-q)","M0",0.36,0.537313432835821,1500
"all","MRGN (CS-q)","M1",0.52,0.353741496598639,1500
"all","MRGN (CS-q)","M2",0.343333333333333,0.919642857142857,1500
"all","MRGN (CS-q)","M3",0.273333333333333,0.845360824742268,1500
"all","MRGN (CS-q)","M4",0.286666666666667,0.462365591397849,1500
"all","MRGN (CS-q)","T1-T2 edge",0.577777777777778,0.703653585926928,1500
"all","MRGN (CS-α)","M0",0.356666666666667,0.656441717791411,1500
"all","MRGN (CS-α)","M1",0.423333333333333,0.398119122257053,1500
"all","MRGN (CS-α)","M2",0.253333333333333,0.95,1500
"all","MRGN (CS-α)","M3",0.253333333333333,0.95,1500
"all","MRGN (CS-α)","M4",0.24,0.545454545454545,1500
"all","MRGN (CS-α)","T1-T2 edge",0.46,0.779661016949153,1500
"all","MRPC (CS-q)","M0",0.5,0.555555555555556,900
"all","MRPC (CS-q)","M1",0.205555555555556,0.389473684210526,900
"all","MRPC (CS-q)","M2",0.244444444444444,0.594594594594595,900
"all","MRPC (CS-q)","M3",0.383333333333333,0.884615384615385,900
"all","MRPC (CS-q)","M4",0.133333333333333,0.615384615384615,900
"all","MRPC (CS-q)","T1-T2 edge",0.368518518518519,0.956730769230769,900
"all","GMAC","M0",NA,NA,1500
"all","GMAC","M1",NA,NA,1500
"all","GMAC","M2",NA,NA,1500
"all","GMAC","M3",NA,NA,1500
"all","GMAC","M4",NA,NA,1500
"all","GMAC","T1-T2 edge",0.818888888888889,0.673674588665448,1500
"all","MR-GGI (CS-q)","M0",0.0266666666666667,0.333333333333333,1500
"all","MR-GGI (CS-q)","M1",0.44,0.534412955465587,1500
"all","MR-GGI (CS-q)","M2",0,NA,1500
"all","MR-GGI (CS-q)","M3",0.01,0.6,1500
"all","MR-GGI (CS-q)","M4",0.413333333333333,0.369047619047619,1500
"all","MR-GGI (CS-q)","T1-T2 edge",0.34,0.725118483412322,1500
"matched","MRGN (True Confs.)","M0",0.622222222222222,0.651162790697674,900
"matched","MRGN (True Confs.)","M1",0.511111111111111,0.446601941747573,900
"matched","MRGN (True Confs.)","M2",0.261111111111111,0.959183673469388,900
"matched","MRGN (True Confs.)","M3",0.511111111111111,0.893203883495146,900
"matched","MRGN (True Confs.)","M4",0.161111111111111,0.878787878787879,900
"matched","MRGN (True Confs.)","T1-T2 edge",0.527777777777778,0.989583333333333,900
"matched","MRGN (CS-q)","M0",0.322222222222222,0.467741935483871,900
"matched","MRGN (CS-q)","M1",0.372222222222222,0.283898305084746,900
"matched","MRGN (CS-q)","M2",0.177777777777778,0.842105263157895,900
"matched","MRGN (CS-q)","M3",0.244444444444444,0.830188679245283,900
"matched","MRGN (CS-q)","M4",0.0777777777777778,0.28,900
"matched","MRGN (CS-q)","T1-T2 edge",0.418518518518519,0.697530864197531,900
"matched","MRGN (CS-α)","M0",0.261111111111111,0.602564102564103,900
"matched","MRGN (CS-α)","M1",0.211111111111111,0.342342342342342,900
"matched","MRGN (CS-α)","M2",0.0722222222222222,1,900
"matched","MRGN (CS-α)","M3",0.133333333333333,1,900
"matched","MRGN (CS-α)","M4",0.0388888888888889,0.388888888888889,900
"matched","MRGN (CS-α)","T1-T2 edge",0.227777777777778,0.866197183098592,900
"matched","MRPC (CS-q)","M0",0.5,0.555555555555556,900
"matched","MRPC (CS-q)","M1",0.205555555555556,0.389473684210526,900
"matched","MRPC (CS-q)","M2",0.244444444444444,0.594594594594595,900
"matched","MRPC (CS-q)","M3",0.383333333333333,0.884615384615385,900
"matched","MRPC (CS-q)","M4",0.133333333333333,0.615384615384615,900
"matched","MRPC (CS-q)","T1-T2 edge",0.368518518518519,0.956730769230769,900
"matched","GMAC","M0",NA,NA,900
"matched","GMAC","M1",NA,NA,900
"matched","GMAC","M2",NA,NA,900
"matched","GMAC","M3",NA,NA,900
"matched","GMAC","M4",NA,NA,900
"matched","GMAC","T1-T2 edge",0.75,0.680672268907563,900
"matched","MR-GGI (CS-q)","M0",0.0166666666666667,0.230769230769231,900
"matched","MR-GGI (CS-q)","M1",0.35,0.417218543046358,900
"matched","MR-GGI (CS-q)","M2",0,NA,900
"matched","MR-GGI (CS-q)","M3",0.0166666666666667,0.75,900
"matched","MR-GGI (CS-q)","M4",0.211111111111111,0.271428571428571,900
"matched","MR-GGI (CS-q)","T1-T2 edge",0.283333333333333,0.725118483412322,900
