"method","arm","level","sample_size","effect_size","truth","predicted","n"
"mrgn","truth","model",50,"all","M0","M0",17
"mrgn","truth","model",50,"all","M1","M0",4
"mrgn","truth","model",50,"all","M2","M0",10
"mrgn","truth","model",50,"all","M3","M0",12
"mrgn","truth","model",50,"all","M4","M0",5
"mrgn","truth","model",50,"all","M0","M1",0
"mrgn","truth","model",50,"all","M1","M1",7
"mrgn","truth","model",50,"all","M2","M1",10
"mrgn","truth","model",50,"all","M3","M1",0
"mrgn","truth","model",50,"all","M4","M1",8
"mrgn","truth","model",50,"all","M0","M2",0
"mrgn","truth","model",50,"all","M1","M2",0
"mrgn","truth","model",50,"all","M2","M2",5
"mrgn","truth","model",50,"all","M3","M2",0
"mrgn","truth","model",50,"all","M4","M2",0
"mrgn","truth","model",50,"all","M0","M3",0
"mrgn","truth","model",50,"all","M1","M3",0
"mrgn","truth","model",50,"all","M2","M3",1
"mrgn","truth","model",50,"all","M3","M3",11
"mrgn","truth","model",50,"all","M4","M3",1
"mrgn","truth","model",50,"all","M0","M4",0
"mrgn","truth","model",50,"all","M1","M4",0
"mrgn","truth","model",50,"all","M2","M4",0
"mrgn","truth","model",50,"all","M3","M4",0
"mrgn","truth","model",50,"all","M4","M4",0
"mrgn","truth","model",50,"all","M0","Other",43
"mrgn","truth","model",50,"all","M1","Other",49
"mrgn","truth","model",50,"all","M2","Other",34
"mrgn","truth","model",50,"all","M3","Other",37
"mrgn","truth","model",50,"all","M4","Other",46
"mrgn","truth","edge",50,"all","M0","T1 - T2 Edge Absent",17
"mrgn","truth","edge",50,"all","M1","T1 - T2 Edge Absent",4
"mrgn","truth","edge",50,"all","M2","T1 - T2 Edge Absent",11
"mrgn","truth","edge",50,"all","M3","T1 - T2 Edge Absent",23
"mrgn","truth","edge",50,"all","M4","T1 - T2 Edge Absent",6
"mrgn","truth","edge",50,"all","M0","T1 - T2 Edge Present",0
"mrgn","truth","edge",50,"all","M1","T1 - T2 Edge Present",7
"mrgn","truth","edge",50,"all","M2","T1 - T2 Edge Present",15
"mrgn","truth","edge",50,"all","M3","T1 - T2 Edge Present",0
"mrgn","truth","edge",50,"all","M4","T1 - T2 Edge Present",8
"mrgn","truth","edge",50,"all","M0","Other",43
"mrgn","truth","edge",50,"all","M1","Other",49
"mrgn","truth","edge",50,"all","M2","Other",34
"mrgn","truth","edge",50,"all","M3","Other",37
"mrgn","truth","edge",50,"all","M4","Other",46
"mrgn","truth","model",50,"small","M0","M0",1
"mrgn","truth","model",50,"small","M1","M0",1
"mrgn","truth","model",50,"small","M2","M0",1
