"method","arm","sample_size","n","edge_accuracy","edge_absent_precision","edge_absent_recall","edge_present_precision","edge_present_recall","no_edge_call"
"mrgn","truth",50,300,0.2333,0.6557,0.3333,1,0.1667,0.6967
"mrgn","truth",150,300,0.6167,0.8173,0.7083,0.9709,0.5556,0.31
"mrgn","truth",300,300,0.71,0.8646,0.6917,0.8904,0.7222,0.1933
"mrgn","truth",670,300,0.7467,0.8438,0.675,0.8667,0.7944,0.13
"mrgn","truth",1000,300,0.73,0.8488,0.6083,0.8066,0.8111,0.11
"mrgn","CSq",50,300,0.0767,0.4286,0.025,0.5882,0.1111,0.8633
"mrgn","CSq",150,300,0.2633,0.9565,0.1833,0.6404,0.3167,0.6267
"mrgn","CSq",300,300,0.4433,0.931,0.225,0.731,0.5889,0.42
"mrgn","CSq",670,300,0.6133,0.9592,0.3917,0.7405,0.7611,0.22
"mrgn","CSq",1000,300,0.61,0.9512,0.325,0.7164,0.8,0.1933
"mrgn","CSa",50,300,0,NA,0,NA,0,1
"mrgn","CSa",150,300,0.08,0.7692,0.0833,0.56,0.0778,0.8733
"mrgn","CSa",300,300,0.3833,0.7714,0.225,0.6875,0.4889,0.4567
"mrgn","CSa",670,300,0.6133,0.9583,0.3833,0.7459,0.7667,0.2233
"mrgn","CSa",1000,300,0.5933,0.9512,0.325,0.7092,0.7722,0.21
"gmac","gmac",50,300,0.56,0.1667,0.025,0.5851,0.9167,0
"gmac","gmac",150,300,0.66,0.95,0.1583,0.6393,0.9944,0
"gmac","gmac",300,300,0.6767,0.96,0.2,0.6509,0.9944,0
"gmac","gmac",670,300,0.7333,0.9545,0.35,0.6953,0.9889,0
"gmac","gmac",1000,300,0.7,0.9688,0.2583,0.6679,0.9944,0
