"method","arm","scope","n_trios","n_timed_out","n_stalled","n_scored","min","q1","median","q3","iqr","max","mean","total_hours"
"MRGN","CSq","all",1500,0,0,1500,0.00232696533203125,0.00506401062011719,0.00724053382873535,0.0104844570159912,0.00542044639587402,0.256700038909912,0.00886063035329183,0.0036919293138716
"MRGN","CSq","n<=300",900,0,0,900,0.00232696533203125,0.00448369979858398,0.00558900833129883,0.0073847770690918,0.00290107727050781,0.23534107208252,0.00645598332087199,0.001613995830218
"MRGN","CSq","50",300,0,0,300,0.0034019947052002,0.00420302152633667,0.00491905212402344,0.00711297988891602,0.00290995836257935,0.23534107208252,0.00647270997365316,0.00053939249780443
"MRGN","CSq","150",300,0,0,300,0.00348997116088867,0.00453728437423706,0.00554502010345459,0.00800001621246338,0.00346273183822632,0.0164031982421875,0.00626859505971273,0.000522382921642727
"MRGN","CSq","300",300,0,0,300,0.00232696533203125,0.00506514310836792,0.00575196743011475,0.00708568096160889,0.00202053785324097,0.0265741348266602,0.00662664492925008,0.00055222041077084
"MRGN","CSq","670",300,0,0,300,0.00436091423034668,0.00806307792663574,0.0104880332946777,0.0130189061164856,0.00495582818984985,0.256700038909912,0.0124654301007589,0.00103878584172991
"MRGN","CSq","1000",300,0,0,300,0.00334882736206055,0.0085982084274292,0.0114611387252808,0.0144570469856262,0.00585883855819702,0.0553979873657227,0.0124697717030843,0.00103914764192369
"MRGN","truth","all",1500,0,0,1500,0.00277304649353027,0.00803780555725098,0.0114175081253052,0.0152499675750732,0.00721216201782227,0.271573066711426,0.0126675524711609,0.0052781468629837
"MRGN","truth","n<=300",900,0,0,900,0.00277304649353027,0.00778871774673462,0.0108945369720459,0.0142205357551575,0.00643181800842285,0.0390830039978027,0.0117071262995402,0.00292678157488505
"MRGN","truth","50",300,0,0,300,0.00436091423034668,0.00765353441238403,0.0104656219482422,0.0130693912506104,0.00541585683822632,0.0322949886322021,0.0109123682975769,0.000909364024798075
"MRGN","truth","150",300,0,0,300,0.00396299362182617,0.00849896669387817,0.0120749473571777,0.0152707695960999,0.00677180290222168,0.0390830039978027,0.0126362601915995,0.00105302168263329
"MRGN","truth","300",300,0,0,300,0.00277304649353027,0.00732368230819702,0.0106748342514038,0.0140857100486755,0.00676202774047852,0.0329971313476562,0.0115727504094442,0.000964395867453681
"MRGN","truth","670",300,0,0,300,0.00338602066040039,0.00890207290649414,0.0122499465942383,0.0168346166610718,0.00793254375457764,0.271573066711426,0.0145581436157227,0.00121317863464355
"MRGN","truth","1000",300,0,0,300,0.00292611122131348,0.00849413871765137,0.0122534036636353,0.0165636539459229,0.00806951522827148,0.0437600612640381,0.0136582398414612,0.0011381866534551
"MRGN","CSa","all",1500,0,0,1500,0.0140588283538818,0.0264248847961426,0.0335400104522705,0.0458710193634033,0.0194461345672607,0.297066926956177,0.0391406065622966,0.0163085860676236
"MRGN","CSa","n<=300",900,0,0,900,0.0140588283538818,0.0236923694610596,0.0289421081542969,0.0347450971603394,0.0110527276992798,0.289927959442139,0.0319371920161777,0.00798429800404443
"MRGN","CSa","50",300,0,0,300,0.0158810615539551,0.020479142665863,0.0229693651199341,0.0270616412162781,0.00658249855041504,0.0519230365753174,0.0243511080741882,0.00202925900618235
