"method","arm","dataset","sample.size","effect_size","truth.model","time.seconds","timed.out","stalled"
"MRGN","truth",1,50,"small","M0.1",0.0147018432617188,FALSE,FALSE
"MRGN","truth",2,50,"small","M1.1",0.0168991088867188,FALSE,FALSE
"MRGN","truth",3,50,"small","M2.1",0.00619912147521973,FALSE,FALSE
"MRGN","truth",4,50,"small","M3",0.00739216804504395,FALSE,FALSE
"MRGN","truth",5,50,"small","M4",0.00940489768981934,FALSE,FALSE
"MRGN","truth",6,150,"small","M0.1",0.0212759971618652,FALSE,FALSE
"MRGN","truth",7,150,"small","M1.1",0.0155508518218994,FALSE,FALSE
"MRGN","truth",8,150,"small","M2.1",0.00580000877380371,FALSE,FALSE
"MRGN","truth",9,150,"small","M3",0.0122730731964111,FALSE,FALSE
"MRGN","truth",10,150,"small","M4",0.0056300163269043,FALSE,FALSE
"MRGN","truth",11,300,"small","M0.1",0.00767302513122559,FALSE,FALSE
"MRGN","truth",12,300,"small","M1.1",0.0183382034301758,FALSE,FALSE
"MRGN","truth",13,300,"small","M2.1",0.0133881568908691,FALSE,FALSE
"MRGN","truth",14,300,"small","M3",0.0198431015014648,FALSE,FALSE
"MRGN","truth",15,300,"small","M4",0.0147378444671631,FALSE,FALSE
"MRGN","truth",16,670,"small","M0.1",0.0133349895477295,FALSE,FALSE
"MRGN","truth",17,670,"small","M1.1",0.022705078125,FALSE,FALSE
"MRGN","truth",18,670,"small","M2.1",0.0114529132843018,FALSE,FALSE
"MRGN","truth",19,670,"small","M3",0.0183959007263184,FALSE,FALSE
"MRGN","truth",20,670,"small","M4",0.0119380950927734,FALSE,FALSE
"MRGN","truth",21,1000,"small","M0.1",0.0286750793457031,FALSE,FALSE
"MRGN","truth",22,1000,"small","M1.1",0.0168139934539795,FALSE,FALSE
"MRGN","truth",23,1000,"small","M2.1",0.00979495048522949,FALSE,FALSE
"MRGN","truth",24,1000,"small","M3",0.0222620964050293,FALSE,FALSE
"MRGN","truth",25,1000,"small","M4",0.00656795501708984,FALSE,FALSE
"MRGN","truth",26,50,"medium","M0.1",0.00446987152099609,FALSE,FALSE
"MRGN","truth",27,50,"medium","M1.1",0.011167049407959,FALSE,FALSE
"MRGN","truth",28,50,"medium","M2.1",0.00808405876159668,FALSE,FALSE
"MRGN","truth",29,50,"medium","M3",0.00859618186950684,FALSE,FALSE
"MRGN","truth",30,50,"medium","M4",0.00633788108825684,FALSE,FALSE
"MRGN","truth",31,150,"medium","M0.1",0.0147130489349365,FALSE,FALSE
"MRGN","truth",32,150,"medium","M1.1",0.00948190689086914,FALSE,FALSE
"MRGN","truth",33,150,"medium","M2.1",0.0140929222106934,FALSE,FALSE
"MRGN","truth",34,150,"medium","M3",0.0390830039978027,FALSE,FALSE
"MRGN","truth",35,150,"medium","M4",0.00578808784484863,FALSE,FALSE
"MRGN","truth",36,300,"medium","M0.1",0.0238199234008789,FALSE,FALSE
"MRGN","truth",37,300,"medium","M1.1",0.0268540382385254,FALSE,FALSE
"MRGN","truth",38,300,"medium","M2.1",0.0317258834838867,FALSE,FALSE
"MRGN","truth",39,300,"medium","M3",0.0147600173950195,FALSE,FALSE
"MRGN","truth",40,300,"medium","M4",0.0301210880279541,FALSE,FALSE
"MRGN","truth",41,670,"medium","M0.1",0.271573066711426,FALSE,FALSE
"MRGN","truth",42,670,"medium","M1.1",0.0095360279083252,FALSE,FALSE
"MRGN","truth",43,670,"medium","M2.1",0.00963878631591797,FALSE,FALSE
"MRGN","truth",44,670,"medium","M3",0.0196809768676758,FALSE,FALSE
"MRGN","truth",45,670,"medium","M4",0.0130629539489746,FALSE,FALSE
"MRGN","truth",46,1000,"medium","M0.1",0.0138540267944336,FALSE,FALSE
"MRGN","truth",47,1000,"medium","M1.1",0.02292799949646,FALSE,FALSE
"MRGN","truth",48,1000,"medium","M2.1",0.0141048431396484,FALSE,FALSE
"MRGN","truth",49,1000,"medium","M3",0.0156030654907227,FALSE,FALSE
"MRGN","truth",50,1000,"medium","M4",0.00586104393005371,FALSE,FALSE
"MRGN","truth",51,50,"large","M0.1",0.0104348659515381,FALSE,FALSE
"MRGN","truth",52,50,"large","M1.1",0.00856184959411621,FALSE,FALSE
"MRGN","truth",53,50,"large","M2.1",0.00558900833129883,FALSE,FALSE
"MRGN","truth",54,50,"large","M3",0.00769710540771484,FALSE,FALSE
"MRGN","truth",55,50,"large","M4",0.013840913772583,FALSE,FALSE
"MRGN","truth",56,150,"large","M0.1",0.0086669921875,FALSE,FALSE
"MRGN","truth",57,150,"large","M1.1",0.00937700271606445,FALSE,FALSE
"MRGN","truth",58,150,"large","M2.1",0.00959610939025879,FALSE,FALSE
"MRGN","truth",59,150,"large","M3",0.0115680694580078,FALSE,FALSE
"MRGN","truth",60,150,"large","M4",0.0198440551757812,FALSE,FALSE
"MRGN","truth",61,300,"large","M0.1",0.0266950130462646,FALSE,FALSE
"MRGN","truth",62,300,"large","M1.1",0.0253810882568359,FALSE,FALSE
"MRGN","truth",63,300,"large","M2.1",0.00629997253417969,FALSE,FALSE
"MRGN","truth",64,300,"large","M3",0.0117628574371338,FALSE,FALSE
"MRGN","truth",65,300,"large","M4",0.0269291400909424,FALSE,FALSE
"MRGN","truth",66,670,"large","M0.1",0.0172989368438721,FALSE,FALSE
"MRGN","truth",67,670,"large","M1.1",0.00534892082214355,FALSE,FALSE
"MRGN","truth",68,670,"large","M2.1",0.00771999359130859,FALSE,FALSE
"MRGN","truth",69,670,"large","M3",0.00857996940612793,FALSE,FALSE
"MRGN","truth",70,670,"large","M4",0.0116751194000244,FALSE,FALSE
"MRGN","truth",71,1000,"large","M0.1",0.00673294067382812,FALSE,FALSE
"MRGN","truth",72,1000,"large","M1.1",0.00777196884155273,FALSE,FALSE
"MRGN","truth",73,1000,"large","M2.1",0.0437600612640381,FALSE,FALSE
"MRGN","truth",74,1000,"large","M3",0.018165111541748,FALSE,FALSE
"MRGN","truth",75,1000,"large","M4",0.0185120105743408,FALSE,FALSE
"MRGN","truth",76,50,"small","M0.1",0.0122020244598389,FALSE,FALSE
"MRGN","truth",77,50,"small","M1.1",0.00628995895385742,FALSE,FALSE
"MRGN","truth",78,50,"small","M2.1",0.0121769905090332,FALSE,FALSE
"MRGN","truth",79,50,"small","M3",0.00969886779785156,FALSE,FALSE
"MRGN","truth",80,50,"small","M4",0.0144109725952148,FALSE,FALSE
"MRGN","truth",81,150,"small","M0.1",0.00543093681335449,FALSE,FALSE
"MRGN","truth",82,150,"small","M1.1",0.0175700187683105,FALSE,FALSE
"MRGN","truth",83,150,"small","M2.1",0.0194089412689209,FALSE,FALSE
"MRGN","truth",84,150,"small","M3",0.014509916305542,FALSE,FALSE
"MRGN","truth",85,150,"small","M4",0.0230510234832764,FALSE,FALSE
"MRGN","truth",86,300,"small","M0.1",0.0141780376434326,FALSE,FALSE
"MRGN","truth",87,300,"small","M1.1",0.0254340171813965,FALSE,FALSE
"MRGN","truth",88,300,"small","M2.1",0.0229499340057373,FALSE,FALSE
"MRGN","truth",89,300,"small","M3",0.00802516937255859,FALSE,FALSE
"MRGN","truth",90,300,"small","M4",0.0278890132904053,FALSE,FALSE
"MRGN","truth",91,670,"small","M0.1",0.00893807411193848,FALSE,FALSE
"MRGN","truth",92,670,"small","M1.1",0.00948715209960938,FALSE,FALSE
"MRGN","truth",93,670,"small","M2.1",0.00382518768310547,FALSE,FALSE
"MRGN","truth",94,670,"small","M3",0.00662803649902344,FALSE,FALSE
"MRGN","truth",95,670,"small","M4",0.0171661376953125,FALSE,FALSE
"MRGN","truth",96,1000,"small","M0.1",0.0166230201721191,FALSE,FALSE
"MRGN","truth",97,1000,"small","M1.1",0.00388002395629883,FALSE,FALSE
"MRGN","truth",98,1000,"small","M2.1",0.0163710117340088,FALSE,FALSE
"MRGN","truth",99,1000,"small","M3",0.0345919132232666,FALSE,FALSE
"MRGN","truth",100,1000,"small","M4",0.0199820995330811,FALSE,FALSE
"MRGN","truth",101,50,"medium","M0.1",0.0105249881744385,FALSE,FALSE
"MRGN","truth",102,50,"medium","M1.1",0.01609206199646,FALSE,FALSE
"MRGN","truth",103,50,"medium","M2.1",0.00832796096801758,FALSE,FALSE
"MRGN","truth",104,50,"medium","M3",0.00802493095397949,FALSE,FALSE
"MRGN","truth",105,50,"medium","M4",0.00790905952453613,FALSE,FALSE
"MRGN","truth",106,150,"medium","M0.1",0.00483298301696777,FALSE,FALSE
"MRGN","truth",107,150,"medium","M1.1",0.0157079696655273,FALSE,FALSE
"MRGN","truth",108,150,"medium","M2.1",0.0133340358734131,FALSE,FALSE
"MRGN","truth",109,150,"medium","M3",0.00485992431640625,FALSE,FALSE
"MRGN","truth",110,150,"medium","M4",0.0106019973754883,FALSE,FALSE
"MRGN","truth",111,300,"medium","M0.1",0.0183601379394531,FALSE,FALSE
"MRGN","truth",112,300,"medium","M1.1",0.00875306129455566,FALSE,FALSE
"MRGN","truth",113,300,"medium","M2.1",0.0154211521148682,FALSE,FALSE
"MRGN","truth",114,300,"medium","M3",0.0122621059417725,FALSE,FALSE
"MRGN","truth",115,300,"medium","M4",0.0075068473815918,FALSE,FALSE
"MRGN","truth",116,670,"medium","M0.1",0.0142481327056885,FALSE,FALSE
"MRGN","truth",117,670,"medium","M1.1",0.0145130157470703,FALSE,FALSE
"MRGN","truth",118,670,"medium","M2.1",0.0084991455078125,FALSE,FALSE
"MRGN","truth",119,670,"medium","M3",0.0229549407958984,FALSE,FALSE
"MRGN","truth",120,670,"medium","M4",0.0121691226959229,FALSE,FALSE
"MRGN","truth",121,1000,"medium","M0.1",0.0139930248260498,FALSE,FALSE
"MRGN","truth",122,1000,"medium","M1.1",0.00776410102844238,FALSE,FALSE
"MRGN","truth",123,1000,"medium","M2.1",0.00752806663513184,FALSE,FALSE
"MRGN","truth",124,1000,"medium","M3",0.0231521129608154,FALSE,FALSE
"MRGN","truth",125,1000,"medium","M4",0.00511002540588379,FALSE,FALSE
"MRGN","truth",126,50,"large","M0.1",0.0135929584503174,FALSE,FALSE
"MRGN","truth",127,50,"large","M1.1",0.0131208896636963,FALSE,FALSE
"MRGN","truth",128,50,"large","M2.1",0.0241501331329346,FALSE,FALSE
"MRGN","truth",129,50,"large","M3",0.00966787338256836,FALSE,FALSE
"MRGN","truth",130,50,"large","M4",0.0206620693206787,FALSE,FALSE
"MRGN","truth",131,150,"large","M0.1",0.0121638774871826,FALSE,FALSE
"MRGN","truth",132,150,"large","M1.1",0.0148160457611084,FALSE,FALSE
"MRGN","truth",133,150,"large","M2.1",0.0103330612182617,FALSE,FALSE
"MRGN","truth",134,150,"large","M3",0.0142800807952881,FALSE,FALSE
"MRGN","truth",135,150,"large","M4",0.0077509880065918,FALSE,FALSE
"MRGN","truth",136,300,"large","M0.1",0.0192880630493164,FALSE,FALSE
"MRGN","truth",137,300,"large","M1.1",0.0253548622131348,FALSE,FALSE
"MRGN","truth",138,300,"large","M2.1",0.0244669914245605,FALSE,FALSE
"MRGN","truth",139,300,"large","M3",0.0067298412322998,FALSE,FALSE
"MRGN","truth",140,300,"large","M4",0.0143740177154541,FALSE,FALSE
"MRGN","truth",141,670,"large","M0.1",0.0344831943511963,FALSE,FALSE
"MRGN","truth",142,670,"large","M1.1",0.0167951583862305,FALSE,FALSE
"MRGN","truth",143,670,"large","M2.1",0.0136709213256836,FALSE,FALSE
"MRGN","truth",144,670,"large","M3",0.0197000503540039,FALSE,FALSE
"MRGN","truth",145,670,"large","M4",0.0163919925689697,FALSE,FALSE
"MRGN","truth",146,1000,"large","M0.1",0.0129051208496094,FALSE,FALSE
"MRGN","truth",147,1000,"large","M1.1",0.0226230621337891,FALSE,FALSE
"MRGN","truth",148,1000,"large","M2.1",0.00763297080993652,FALSE,FALSE
"MRGN","truth",149,1000,"large","M3",0.0137128829956055,FALSE,FALSE
"MRGN","truth",150,1000,"large","M4",0.0156209468841553,FALSE,FALSE
"MRGN","truth",151,50,"small","M0.1",0.0103240013122559,FALSE,FALSE
"MRGN","truth",152,50,"small","M1.1",0.0129868984222412,FALSE,FALSE
"MRGN","truth",153,50,"small","M2.1",0.00603389739990234,FALSE,FALSE
"MRGN","truth",154,50,"small","M3",0.0130691528320312,FALSE,FALSE
"MRGN","truth",155,50,"small","M4",0.00799703598022461,FALSE,FALSE
"MRGN","truth",156,150,"small","M0.1",0.0126287937164307,FALSE,FALSE
"MRGN","truth",157,150,"small","M1.1",0.0144829750061035,FALSE,FALSE
"MRGN","truth",158,150,"small","M2.1",0.0165760517120361,FALSE,FALSE
"MRGN","truth",159,150,"small","M3",0.0118188858032227,FALSE,FALSE
"MRGN","truth",160,150,"small","M4",0.00762581825256348,FALSE,FALSE
"MRGN","truth",161,300,"small","M0.1",0.00883603096008301,FALSE,FALSE
"MRGN","truth",162,300,"small","M1.1",0.00633096694946289,FALSE,FALSE
"MRGN","truth",163,300,"small","M2.1",0.00818610191345215,FALSE,FALSE
"MRGN","truth",164,300,"small","M3",0.0151660442352295,FALSE,FALSE
"MRGN","truth",165,300,"small","M4",0.00428199768066406,FALSE,FALSE
"MRGN","truth",166,670,"small","M0.1",0.00683498382568359,FALSE,FALSE
"MRGN","truth",167,670,"small","M1.1",0.0140008926391602,FALSE,FALSE
"MRGN","truth",168,670,"small","M2.1",0.0135068893432617,FALSE,FALSE
"MRGN","truth",169,670,"small","M3",0.0122818946838379,FALSE,FALSE
"MRGN","truth",170,670,"small","M4",0.0161130428314209,FALSE,FALSE
"MRGN","truth",171,1000,"small","M0.1",0.0156049728393555,FALSE,FALSE
"MRGN","truth",172,1000,"small","M1.1",0.0372719764709473,FALSE,FALSE
"MRGN","truth",173,1000,"small","M2.1",0.0127670764923096,FALSE,FALSE
"MRGN","truth",174,1000,"small","M3",0.00720000267028809,FALSE,FALSE
"MRGN","truth",175,1000,"small","M4",0.0114648342132568,FALSE,FALSE
"MRGN","truth",176,50,"medium","M0.1",0.0129621028900146,FALSE,FALSE
"MRGN","truth",177,50,"medium","M1.1",0.00537014007568359,FALSE,FALSE
"MRGN","truth",178,50,"medium","M2.1",0.0056769847869873,FALSE,FALSE
"MRGN","truth",179,50,"medium","M3",0.00486993789672852,FALSE,FALSE
"MRGN","truth",180,50,"medium","M4",0.0118567943572998,FALSE,FALSE
"MRGN","truth",181,150,"medium","M0.1",0.00594401359558105,FALSE,FALSE
"MRGN","truth",182,150,"medium","M1.1",0.0153331756591797,FALSE,FALSE
"MRGN","truth",183,150,"medium","M2.1",0.0102429389953613,FALSE,FALSE
"MRGN","truth",184,150,"medium","M3",0.0127289295196533,FALSE,FALSE
"MRGN","truth",185,150,"medium","M4",0.00675487518310547,FALSE,FALSE
"MRGN","truth",186,300,"medium","M0.1",0.00673198699951172,FALSE,FALSE
"MRGN","truth",187,300,"medium","M1.1",0.0105020999908447,FALSE,FALSE
"MRGN","truth",188,300,"medium","M2.1",0.00650191307067871,FALSE,FALSE
"MRGN","truth",189,300,"medium","M3",0.0112578868865967,FALSE,FALSE
"MRGN","truth",190,300,"medium","M4",0.01444411277771,FALSE,FALSE
"MRGN","truth",191,670,"medium","M0.1",0.00564193725585938,FALSE,FALSE
"MRGN","truth",192,670,"medium","M1.1",0.0148739814758301,FALSE,FALSE
"MRGN","truth",193,670,"medium","M2.1",0.0178780555725098,FALSE,FALSE
"MRGN","truth",194,670,"medium","M3",0.00975608825683594,FALSE,FALSE
"MRGN","truth",195,670,"medium","M4",0.0110862255096436,FALSE,FALSE
"MRGN","truth",196,1000,"medium","M0.1",0.0206220149993896,FALSE,FALSE
"MRGN","truth",197,1000,"medium","M1.1",0.00854706764221191,FALSE,FALSE
"MRGN","truth",198,1000,"medium","M2.1",0.00968694686889648,FALSE,FALSE
"MRGN","truth",199,1000,"medium","M3",0.0152690410614014,FALSE,FALSE
"MRGN","truth",200,1000,"medium","M4",0.0102338790893555,FALSE,FALSE
"MRGN","truth",201,50,"large","M0.1",0.0100209712982178,FALSE,FALSE
"MRGN","truth",202,50,"large","M1.1",0.00603294372558594,FALSE,FALSE
"MRGN","truth",203,50,"large","M2.1",0.00719904899597168,FALSE,FALSE
"MRGN","truth",204,50,"large","M3",0.00815606117248535,FALSE,FALSE
"MRGN","truth",205,50,"large","M4",0.0177111625671387,FALSE,FALSE
"MRGN","truth",206,150,"large","M0.1",0.0154058933258057,FALSE,FALSE
"MRGN","truth",207,150,"large","M1.1",0.011552095413208,FALSE,FALSE
