"method","arm","sample_size","n","edge_accuracy","edge_absent_precision","edge_absent_recall","edge_present_precision","edge_present_recall","no_edge_call"
"mrgn","truth",50,300,0.2267,0.625,0.3333,1,0.1556,0.6933
"mrgn","truth",150,300,0.67,0.8641,0.7417,1,0.6222,0.2833
"mrgn","truth",300,300,0.8133,0.9167,0.825,0.9797,0.8056,0.1467
"mrgn","truth",670,300,0.87,0.9537,0.8583,0.9634,0.8778,0.0933
"mrgn","truth",1000,300,0.9,0.9722,0.875,0.9593,0.9167,0.0667
"mrgn","CSq",50,300,0.2367,0.6,0.3,0.814,0.1944,0.6567
"mrgn","CSq",150,300,0.38,0.6731,0.2917,0.6529,0.4389,0.4233
"mrgn","CSq",300,300,0.5067,0.6154,0.3333,0.7,0.6222,0.25
"mrgn","CSq",670,300,0.6167,0.7167,0.3583,0.71,0.7889,0.1333
"mrgn","CSq",1000,300,0.6667,0.7869,0.4,0.707,0.8444,0.08
"mrgn","CSa",50,300,0,NA,0,NA,0,1
"mrgn","CSa",150,300,0.1567,0.8235,0.2333,0.9048,0.1056,0.8167
"mrgn","CSa",300,300,0.5467,0.8824,0.5,0.8595,0.5778,0.37
"mrgn","CSa",670,300,0.6767,0.7973,0.4917,0.7619,0.8,0.1233
"mrgn","CSa",1000,300,0.6767,0.8358,0.4667,0.735,0.8167,0.11
"mrpc","truth",50,300,0.1367,0.6591,0.2417,1,0.0667,0.8133
"mrpc","truth",150,300,0.3767,0.8971,0.5083,1,0.2889,0.6
"mrpc","truth",300,300,0.3633,0.8387,0.4333,1,0.3167,0.6033
"mrpc","truth",670,0,NA,NA,NA,NA,NA,NA
"mrpc","truth",1000,0,NA,NA,NA,NA,NA,NA
"mrpc","CSq",50,300,0.23,0.6531,0.2667,1,0.2056,0.7133
"mrpc","CSq",150,300,0.4833,0.8353,0.5917,0.961,0.4111,0.46
"mrpc","CSq",300,300,0.5467,0.717,0.6333,0.9362,0.4889,0.3333
"mrpc","CSq",670,0,NA,NA,NA,NA,NA,NA
"mrpc","CSq",1000,0,NA,NA,NA,NA,NA,NA
"gmac","gmac",50,300,0.6333,0.5329,0.675,0.7365,0.6056,0
"gmac","gmac",150,300,0.66,0.6071,0.425,0.6806,0.8167,0
"gmac","gmac",300,300,0.6233,0.5507,0.3167,0.645,0.8278,0
"gmac","gmac",670,300,0.6633,0.6863,0.2917,0.6586,0.9111,0
"gmac","gmac",1000,300,0.6867,0.76,0.3167,0.672,0.9333,0
"mrggi","mrggi",50,300,0.1667,0.4565,0.175,0.6591,0.1611,0.7
"mrggi","mrggi",150,300,0.3,0.5224,0.2917,0.6044,0.3056,0.4733
"mrggi","mrggi",300,300,0.3967,0.4819,0.3333,0.6475,0.4389,0.3167
"mrggi","mrggi",670,300,0.43,0.4074,0.3667,0.6343,0.4722,0.1933
"mrggi","mrggi",1000,300,0.47,0.4643,0.4333,0.6268,0.4944,0.1533
