"method","sample_size","effect_size","metric","observed","denominator","boot_lo95","boot_q1","boot_median","boot_q3","boot_hi95","n_resamples"
"MRGN",50,"small","Precision",0,1,0,0,0,0,0,1281
"MRGN",50,"small","Recall",0,60,0,0,0,0,0,2000
"MRGN",50,"medium","Precision",0.818181818181818,11,0.571428571428571,0.75,0.833333333333333,0.9,1,2000
"MRGN",50,"medium","Recall",0.15,60,0.0666666666666667,0.116666666666667,0.15,0.183333333333333,0.25,2000
"MRGN",50,"large","Precision",0.838709677419355,31,0.722222222222222,0.8,0.84,0.882352941176471,0.961538461538462,2000
"MRGN",50,"large","Recall",0.433333333333333,60,0.3,0.383333333333333,0.433333333333333,0.466666666666667,0.566666666666667,2000
"MRGN",150,"small","Precision",0.555555555555556,9,0.2,0.444444444444444,0.571428571428571,0.666666666666667,0.857142857142857,2000
"MRGN",150,"small","Recall",0.0833333333333333,60,0.0166666666666667,0.05,0.0833333333333333,0.1,0.15,2000
"MRGN",150,"medium","Precision",0.581395348837209,43,0.470525657071339,0.545454545454545,0.580697674418605,0.617177722152691,0.692307692307692,2000
"MRGN",150,"medium","Recall",0.416666666666667,60,0.3,0.383333333333333,0.416666666666667,0.45,0.533333333333333,2000
"MRGN",150,"large","Precision",0.710144927536232,69,0.645569620253165,0.686567164179104,0.710144927536232,0.734375,0.78125,2000
"MRGN",150,"large","Recall",0.816666666666667,60,0.716666666666667,0.783333333333333,0.816666666666667,0.85,0.916666666666667,2000
"MRGN",300,"small","Precision",0.578947368421053,19,0.363636363636364,0.5,0.578947368421053,0.647794117647059,0.777898550724637,2000
"MRGN",300,"small","Recall",0.183333333333333,60,0.0833333333333333,0.15,0.183333333333333,0.216666666666667,0.283333333333333,2000
"MRGN",300,"medium","Precision",0.707692307692308,65,0.63768115942029,0.683333333333333,0.709677419354839,0.73359375,0.784642857142857,2000
"MRGN",300,"medium","Recall",0.766666666666667,60,0.65,0.733333333333333,0.766666666666667,0.8,0.866666666666667,2000
"MRGN",300,"large","Precision",0.723684210526316,76,0.666666666666667,0.703703703703704,0.723684210526316,0.746666666666667,0.788732394366197,2000
"MRGN",300,"large","Recall",0.916666666666667,60,0.85,0.9,0.916666666666667,0.95,0.983333333333333,2000
"MRGN",670,"small","Precision",0.604651162790698,43,0.5,0.571428571428571,0.604651162790698,0.645833333333333,0.71875,2000
"MRGN",670,"small","Recall",0.433333333333333,60,0.316666666666667,0.4,0.433333333333333,0.483333333333333,0.566666666666667,2000
"MRGN",670,"medium","Precision",0.708860759493671,79,0.655172413793103,0.691358024691358,0.708860759493671,0.72972972972973,0.769230769230769,2000
"MRGN",670,"medium","Recall",0.933333333333333,60,0.866666666666667,0.916666666666667,0.933333333333333,0.95,0.983333333333333,2000
"MRGN",670,"large","Precision",0.769230769230769,78,0.714285714285714,0.75,0.769230769230769,0.789473684210526,0.833333333333333,2000
"MRGN",670,"large","Recall",1,60,1,1,1,1,1,2000
"MRGN",1000,"small","Precision",0.564516129032258,62,0.491228070175439,0.53968253968254,0.565217391304348,0.590909090909091,0.637966365178067,2000
"MRGN",1000,"small","Recall",0.583333333333333,60,0.466666666666667,0.55,0.583333333333333,0.633333333333333,0.7,2000
"MRGN",1000,"medium","Precision",0.734177215189873,79,0.681818181818182,0.716049382716049,0.734177215189873,0.754171057253249,0.8,2000
"MRGN",1000,"medium","Recall",0.966666666666667,60,0.916666666666667,0.95,0.966666666666667,0.983333333333333,1,2000
"MRGN",1000,"large","Precision",0.797297297297297,74,0.740190746753247,0.777412280701754,0.797297297297297,0.819444444444444,0.857142857142857,2000
"MRGN",1000,"large","Recall",0.983333333333333,60,0.95,0.966666666666667,0.983333333333333,1,1,2000
"MRPC",50,"small","Recall",0,60,0,0,0,0,0,2000
"MRPC",50,"medium","Precision",1,8,1,1,1,1,1,2000
"MRPC",50,"medium","Recall",0.133333333333333,60,0.05,0.1,0.133333333333333,0.166666666666667,0.216666666666667,2000
"MRPC",50,"large","Precision",1,29,1,1,1,1,1,2000
